Day,Pattern,Department,Shift Name,Start Time,End Time,Min Senior,Min Total Staff,Max Total Staff,SBY
Monday,Mon-Wed,Kitchen,Morning,11:30,17:00,1,1,1,No
Monday,Mon-Wed,Kitchen,Evening,16:30,02:00,1,1,1,No
Monday,Mon-Wed,Kitchen,Late,18:30,01:45,0,1,1,No
Monday,Mon-Wed,Front,Morning,11:30,18:00,1,1,1,No
Monday,Mon-Wed,Front,Evening,17:30,01:45,1,1,1,No
Monday,Mon-Wed,Front,Late,20:00,01:45,0,1,1,No
Tuesday,Mon-Wed,Kitchen,Morning,11:30,17:30,1,1,1,No
Tuesday,Mon-Wed,Kitchen,Evening,16:30,02:00,1,1,1,No
Tuesday,Mon-Wed,Kitchen,Late,18:30,01:45,0,1,1,No
Tuesday,Mon-Wed,Front,Morning,11:30,18:00,1,1,1,No
Tuesday,Mon-Wed,Front,Evening,17:30,01:45,1,1,1,No
Tuesday,Mon-Wed,Front,Late,20:00,01:45,0,1,1,No
Wednesday,Mon-Wed,Kitchen,Morning,11:30,17:00,1,1,1,No
Wednesday,Mon-Wed,Kitchen,Evening,16:30,02:00,1,1,1,No
Wednesday,Mon-Wed,Kitchen,Late,18:30,01:45,0,1,1,No
Wednesday,Mon-Wed,Front,Morning,11:30,18:00,1,1,1,No
Wednesday,Mon-Wed,Front,Evening,17:30,01:45,1,1,1,No
Wednesday,Mon-Wed,Front,Late,20:00,01:45,0,1,1,No
Thursday,Thu,Kitchen,Morning,11:30,17:00,1,1,1,No
Thursday,Thu,Kitchen,Evening,16:30,23:00,1,1,1,No
Thursday,Thu,Kitchen,Late,20:00,02:00,0,1,1,No
Thursday,Thu,Front,Morning,11:30,18:00,1,1,1,No
Thursday,Thu,Front,Evening,18:00,01:45,1,1,1,No
Thursday,Thu,Front,Late,20:00,01:00,0,1,1,No
Friday,Fri,Kitchen,Morning,11:30,19:00,1,1,1,No
Friday,Fri,Kitchen,Evening,18:00,23:00,0,1,2,No
Friday,Fri,Kitchen,Late,19:30,03:30,1,1,1,No
Friday,Fri,Front,Morning,11:30,17:30,1,1,1,No
Friday,Fri,Front,Evening,17:00,01:30,1,1,1,No
Friday,Fri,Front,Late,19:00,01:45,0,1,1,No
Saturday,Sat,Kitchen,Morning,09:30,19:00,1,1,1,No
Saturday,Sat,Kitchen,Evening,18:00,03:30,1,1,2,No
Saturday,Sat,Kitchen,Late,20:00,03:30,0,1,1,No
Saturday,Sat,Front,Morning,10:00,16:30,1,1,1,No
Saturday,Sat,Front,Evening,16:00,01:45,1,1,1,No
Saturday,Sat,Front,Late,19:00,01:45,0,1,1,No
Sunday,Sun,Kitchen,Morning,09:30,17:30,1,1,1,No
Sunday,Sun,Kitchen,Evening,16:00,23:30,1,1,1,No
Sunday,Sun,Kitchen,Late,18:00,02:00,1,1,1,No
Sunday,Sun,Front,Morning,10:00,17:00,1,1,1,No
Sunday,Sun,Front,Evening,16:00,02:00,1,1,1,No
Sunday,Sun,Front,Late,19:00,02:00,0,1,1,Yes